"Year","Accidents","Fatalities","FatalAccidents","Departures","AccidentRate","State"
2018,1,0,0,184709,5.413921357378363,"ARG"
2018,1,0,0,1100132,0.9089818312711565,"GBR"
2018,2,0,0,89796,22.272707024811794,"MAR"
2018,1,0,0,52887,18.908238319435778,"HUN"
2018,1,0,0,1234245,0.8102119109253025,"IND"
2018,27,1,1,9341177,2.89042804777171,"USA"
2018,1,0,0,683419,1.4632311949184906,"ITA"
2018,4,72,2,783506,5.10525764959043,"RUS"
2018,2,66,1,214124,9.34038220843997,"IRN"
2018,1,1,1,1568,637.7551020408164,"FSM"
2018,1,0,0,72526,13.78815872928329,"BGD"
2018,8,0,0,1159029,6.902329449910226,"CAN"
2018,1,0,0,12259,81.57272208173586,"VUT"
2019,1,12,1,80468,12.427300293284286,"KAZ"
2019,1,0,0,64378,15.533256702600267,"BOL"
2019,1,0,0,30691,32.582841875468375,"TTO"
2019,1,0,0,156806,6.377306990803923,"DNK"
2019,1,0,0,239371,4.177615500624554,"GRC"
2019,1,0,0,3406,293.5995302407516,"DMA"
2019,1,0,0,22832,43.79817799579538,"MOZ"
2019,1,0,0,3534,282.9654782116582,"SSD"
2019,1,0,0,153468,6.516016368233117,"AUT"
2019,1,0,0,3933,254.25883549453343,"NER"
2019,2,0,0,89962,22.231608901536205,"MMR"
2019,3,0,0,951221,3.1538412209150133,"ESP"
2019,2,0,0,526601,3.797941895286944,"THA"
2019,1,0,0,14818,67.48549061951681,"ZWE"
2019,24,6,3,9549260,2.513283751829985,"USA"
2019,1,0,0,187611,5.330177868035456,"POL"
2019,4,0,0,981089,4.077102077385436,"DEU"
2019,2,0,0,68380,29.248318221702252,"PAK"
2019,1,0,0,153872,6.4989081834251845,"IRN"
2019,1,0,0,708046,1.412337616482545,"ITA"
2019,1,0,0,95423,10.479653752240026,"UKR"
2019,2,0,0,671824,2.9769701588511275,"MEX"
2019,6,43,2,834642,7.188710848483542,"RUS"
2019,2,0,0,4579656,0.43671402393542225,"CHN"
2019,9,0,0,1124163,8.0059564315851,"CAN"
2019,1,0,0,7649,130.73604392731076,"BIH"
2019,2,0,0,1164538,1.7174192684137402,"JPN"
2019,1,0,0,861037,1.1613902770728783,"BRA"
2019,3,0,0,979048,3.064201142334186,"IDN"
2019,2,0,0,121456,16.466868660255567,"KEN"
2019,1,0,0,739569,1.3521388808887338,"FRA"
2019,3,0,0,1250326,2.399374243197374,"IND"
2019,1,0,0,80088,12.486265108380781,"NPL"
2019,1,157,1,76599,13.05500071802504,"ETH"
2019,6,0,0,1092653,5.491221824312018,"GBR"
2019,1,0,0,734878,1.3607700870076394,"AUS"
2019,1,0,0,460104,2.173421661189644,"KOR"
2019,4,0,0,350148,11.423740818168318,"COL"
2019,5,0,0,277070,18.04598115999567,"NLD"
2019,2,27,1,8989,222.4941595283124,"COD"
2020,1,0,0,1222765,0.8178186323619011,"JPN"
2020,1,0,0,141260,7.079144839303412,"CHL"
2020,1,0,0,1028000,0.9727626459143969,"IDN"
2020,1,0,0,29697,33.67343502710712,"LAO"
2020,1,0,0,371111,2.6946115852130497,"SAU"
2020,4,0,0,1180371,3.3887650577657364,"CAN"
2020,1,0,0,998782,1.0012194853331358,"ESP"
2020,3,0,0,876374,3.423196032744011,"RUS"
2020,1,0,0,705415,1.417605239468965,"MEX"
2020,2,3,1,640577,3.122185154946244,"TUR"
2020,2,176,1,161566,12.378842083111545,"IRN"
